Order Name,Created at,Source Name,Total Discounts,Order Status,Total Product,Store,Carrier Status Code,Cancel Reason,Sales Program,Giới tính,Funnel,Category,Sub-category,Price,Subtotal Price
101027,7/27/2023,Instagram,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Anh,,Quần,Quần tây,420000,420000
101029,7/27/2023,Instagram,0,confirmed,1,37 Nguyễn Văn Huyên,confirmed,,Đặt trước,Anh,,Quần,Quần ống rộng,380000,380000
101040,7/27/2023,Instagram,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Quần,Quần ống rộng,380000,380000
101042,7/27/2023,Trực tiếp - Cửa hàng,30000,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Quần,Quần tây,420000,420000
101053,7/27/2023,Trực tiếp - Cửa hàng,30000,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Quần,Quần tây,420000,420000
101059,7/27/2023,Trực tiếp - Cửa hàng,0,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Quần,Quần ống rộng,380000,380000
101065,7/27/2023,Instagram,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Quần,Quần tây,420000,420000
101116,7/27/2023,Instagram,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Daily use,Áo croptop sơ mi,280000,280000
101126,7/27/2023,Instagram,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Daily use,Áo croptop sơ mi,280000,280000
101144,7/27/2023,Instagram,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Quần,Quần tây,420000,420000
101159,7/27/2023,Instagram,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Quần,Quần tây,420000,420000
100027,7/27/2023,Instagram,0,pending,1,Kho Online,pending,,,Chị,,Váy,Váy liền,430000,430000
100032,7/27/2023,Instagram,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Quần,Quần tây,420000,420000
100041,7/27/2023,Zalo,0,confirmed,2,37 Nguyễn Văn Huyên,confirmed,,Đặt trước,Chị,,Daily use,Áo croptop sơ mi,280000,560000
100070,7/27/2023,Instagram,0,cancel,1,Kho Online,cancel,Đơn trùng,,Chị,,Quần,Quần tây,420000,420000
100084,7/27/2023,Trực tiếp - Cửa hàng,0,prepared,1,37 Nguyễn Văn Huyên,prepared,,Mua tại quầy,Chị,,Quần,Quần tây,420000,420000
